doctor_id	name	specialization	department_id
101	Rachel Guerrero	Orthopedic	7
102	Joel Clark	Orthopedic	4
103	Sean Martin	Oncologist	8
104	Michelle Maddox	Cardiologist	4
105	Lauren Odonnell	Pediatrician	2
106	Helen Gilbert	Psychiatrist	7
107	Mark Tapia	Pediatrician	2
108	Ian Dean	Neurologist	2
109	Taylor Harmon	Neurologist	2
110	Ann Yu	Dermatologist	1
111	Bryce Chase	Dermatologist	3
112	Mark Walker	Oncologist	8
113	Amanda Powell	Orthopedic	8
114	Randall Page	Oncologist	5
115	Jennifer Shelton	Dermatologist	8
116	Mia Brewer MD	Pediatrician	7
117	Laura Wilson	ENT Specialist	6
118	Andrea Harrison	ENT Specialist	3
119	Karen Mcintosh PhD	ENT Specialist	8
120	Timothy Schneider	Orthopedic	8
121	Brandy Green	Pediatrician	6
122	Karen Lyons	Pediatrician	3
123	Robin Miller	Cardiologist	3
124	Valerie Schneider	Orthopedic	1
125	Nicole Russell	Oncologist	8
126	Ashley Wilcox DVM	Dermatologist	1
127	Andrew Spencer	Cardiologist	7
128	Brandi Fernandez	Cardiologist	6
129	Amy Bailey	Neurologist	6
130	Alexandra Gillespie	Orthopedic	4
131	Emma Manning	ENT Specialist	3
132	Shane Barrett	Cardiologist	1
133	Tim Kelly	Oncologist	7
134	Christopher Aguilar	ENT Specialist	3
135	Jason Cooper	Pediatrician	1
136	Christopher Vega	Pediatrician	1
137	Martin Smith	Psychiatrist	4
138	William Walker	Pediatrician	2
139	Wanda Medina	Neurologist	6
140	Regina Castro	Orthopedic	1
141	Barbara Ramirez	Neurologist	4
142	Margaret Ramos	Pediatrician	1
143	Justin Davis	Cardiologist	2
144	Tanya Wise	Dermatologist	4
145	Ann Flynn	Neurologist	8
146	David Hernandez	Psychiatrist	8
147	Curtis Hayes	Pediatrician	4
148	Sara Sherman	Oncologist	1
149	Allen Smith	Oncologist	2
150	Jon Holden	Psychiatrist	8
151	Gary Rowland	ENT Specialist	6
152	Peggy Brown	Pediatrician	6
153	Joe Williams	Dermatologist	3
154	Rebecca Wilson	Psychiatrist	1
155	Michael Grant	Cardiologist	2
156	Pamela Ramirez	Oncologist	1
157	Justin Lopez	Orthopedic	5
158	Deborah Nunez	Oncologist	1
159	Brian Gutierrez	Neurologist	5
160	Craig Miller	Neurologist	8
161	Albert Russell DVM	Dermatologist	4
162	Deborah Armstrong	Orthopedic	4
